brandName_0_lang,brandName_0_value,brandName_1_lang,brandName_1_value,brandName_2_lang,brandName_2_value,gpcCode,gtin,netContent_0_measurementUnitCode,netContent_0_quantity,netContent_1_measurementUnitCode,netContent_1_quantity,netContent_2_measurementUnitCode,netContent_2_quantity,netContent_3_measurementUnitCode,netContent_3_quantity,netContent_4_measurementUnitCode,netContent_4_quantity,status,targetMarketCountryCode_0,targetMarketCountryCode_1,targetMarketCountryCode_2,tradeItemDescription_0_lang,tradeItemDescription_0_value,tradeItemDescription_1_lang,tradeItemDescription_1_value,tradeItemDescription_2_lang,tradeItemDescription_2_value,tradeItemImageUrl_0_lang,tradeItemImageUrl_0_value,tradeItemImageUrl_1_lang,tradeItemImageUrl_1_value,tradeItemImageUrl_2_lang,tradeItemImageUrl_2_value
en-US,Pantene,,,,,10000346,00080878186747,OZA,11.1,MLT,330,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Gold Series Moisture Boost Conditioner Infused with Argan Oil, 11.1 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80314383_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878186808,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,Charcoal Shampoo Purifying Root Wash 10.1 fl oz - Pantene Pro-V Blends - Daily Hair Cleanser,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80316378_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186815,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,Charcoal Conditioner Soothing Cream Rinse 10.1 fl oz - Pantene Pro-V Blends Hair Conditioner,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80316380_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878186822,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,Charcoal Shampoo Purifying Root Wash 17.9 fl oz - Pantene Pro-V Blends - Daily Hair Cleanser,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80316381_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878186839,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,Charcoal Conditioner Soothing Cream Rinse 17.9 fl oz - Pantene Pro-V Blends Hair Conditioner,,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80316382_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187027,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Blends Rose Water Sulfate-Free Soothing Moisture Wash Shampoo, 10.1 fl oz – Dye-Free and Paraben-Free Shampoo",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318592_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187034,OZA,10.1,MLT,300,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Blends Rose Water Sulfate-Free Soothing Conditioner, 10.1 fl oz –  Dye-Free and Paraben-Free Conditioner",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318593_master_preview,,,,
en-US,Pantene,,,,,10000368,00080878187041,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Blends Rose Water Sulfate-Free Soothing Moisture Wash Shampoo, 17.9 fl oz – Dye-Free and Paraben-Free Shampoo",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318595_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187058,OZA,17.9,MLT,530,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Blends Rose Water Sulfate-Free Soothing Conditioner, 17.9 fl oz – Dye-Free and Paraben-Free Conditioner",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318596_master_preview,,,,
en-US,Pantene,,,,,10000346,00080878187065,OZA,6.4,MLT,190,,,,,,,ACTIVE,US,,,en-US,"Pantene Pro-V Nutrient Boost Heat Primer Thermal Heat Protection Pre-Styling Spray, 6.4 fl oz",,,,,en-US,https://delivery.pgbrandstore.com/api/public/content/fpc_80318904_master_preview,,,,
